EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.112000,0.000000,0.059353,
slow_a,0.816000,0.000000,0.410414,
slow_b,4.032000,0.000000,2.058757,
slow_c,45.976000,0.004000,23.010138,
slow_d,40.780000,27.000000,35.018113,
slow_e,6.064000,0.008000,3.040225,
slow_f,0.200000,0.000000,0.130800,

