thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,8436741,192117740,532913466,1373848564,
1,0,slow_a,8195749,2671605603,2566747580,6586075481,
1,0,slow_b,8356503,2164977949,3307513599,6546398832,
1,0,slow_c,8249697,1660200987,9894545068,5060053279,
1,0,slow_d,8673497,6170057588,26468147012,14555735647,
1,0,slow_e,502266876,1906644589,9981506872,5089128662,
1,0,slow_f,8230112,190478171,805503427,2140820277,
2,1,fast,8018870,191653492,791492509,1387965764,
2,1,slow_a,8203122,2674081604,2816663308,6608957045,
2,1,slow_b,16101006,2163340481,3559139671,6577572199,
2,1,slow_c,8525708,1660638315,10187955871,5075373824,
2,1,slow_d,8895117,6165609589,26729050659,14585014746,
2,1,slow_e,502517442,1910151811,10493791700,5108459568,
2,1,slow_f,8256052,192134967,1096194251,2158318165,
2,0,fast,7841741,188805368,805653337,1357150905,
2,0,slow_a,8151939,2672881799,2806880828,6624024490,
2,0,slow_b,104098280,2146803551,11916617480,6604853828,
2,0,slow_c,535498916,1667295657,97359935643,5123919062,
2,0,slow_d,1169205323,23013317172,185062975287,87525251316,
2,0,slow_e,581701437,1906771995,14608484755,5106779781,
2,0,slow_f,8113108,190144482,1103083449,2160493156,
