EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.084000,0.000000,0.083183,
slow_a,0.740000,0.000000,0.741118,
slow_b,0.992000,0.000000,0.990874,
slow_c,3.144000,0.000000,3.145744,
slow_d,8.520000,0.000000,8.519871,
slow_e,3.904000,0.000000,3.905976,
slow_f,0.176000,0.004000,0.176965,

