cmd=draw lib=tbb power=28
threads,sys,user,elapsed
1,0.342,4.370,4.805
2,0.357,4.253,2.442
3,0.378,4.350,1.732
4,0.407,4.647,1.425
5,0.427,5.663,1.373
6,0.485,6.378,1.332
7,0.517,7.165,1.272
8,0.493,7.718,1.242
