cmd=limits lib=pthread power=28
threads,sys,user,elapsed
1,0.000,1.338,1.343
2,0.000,1.352,0.680
3,0.000,1.387,0.473
4,0.000,1.403,0.362
5,0.000,1.585,0.365
6,0.002,1.783,0.330
7,0.000,1.817,0.282
8,0.000,1.973,0.293
