cmd=draw lib=pthread power=28
threads,sys,user,elapsed
1,0.298,4.308,4.760
2,0.348,4.253,2.462
3,0.368,4.397,1.843
4,0.387,4.642,1.522
5,0.415,5.515,1.635
6,0.457,6.195,1.497
7,0.507,6.972,1.405
8,0.500,7.623,1.408
